,mean_car,positive_events,negative_events,asymmetry_score,category
stocks_RUSSELL2000_kurtosis_10d,0.040031077907653,4.0,0.0,1.0,stocks
stocks_OIL_kurtosis_5d,-0.0478856004230289,0.0,5.0,1.0,stocks
crypto_BNB_cumret_10d,0.2529610157584769,3.0,0.0,1.0,crypto
crypto_XRP_skewness_20d,-0.1026630338944147,0.0,5.0,1.0,crypto
crypto_BNB_kurtosis_20d,0.0950739764990637,5.0,0.0,1.0,crypto
fixed_income_Treasury_10Y_Yield_skewness_5d,0.1541258335135399,3.0,0.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_cumret_5d,0.0246197061198708,2.0,0.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_skewness_5d,0.0736227982691232,3.0,0.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_kurtosis_20d,0.1535516870325054,3.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_cumret_5d,0.258090627447568,3.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_kurtosis_20d,0.0730321595836896,5.0,0.0,1.0,fixed
fixed_income_Treasury_30Y_Yield_cumret_5d,0.138141309602647,2.0,0.0,1.0,fixed
fixed_income_Treasury_7_10Y_ETF_kurtosis_20d,-0.0270533484084557,0.0,4.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_skewness_5d,0.10841321657479,3.0,0.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_kurtosis_5d,0.0964317996309239,3.0,0.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_cumret_5d,0.2792194847581121,3.0,0.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_skewness_10d,0.0222628513356227,2.0,0.0,1.0,fixed
stocks_DJI_skewness_10d,0.1904856680475854,2.0,0.0,1.0,stocks
stocks_NASDAQ_cumret_5d,0.1769291995818006,1.0,0.0,1.0,stocks
stocks_SP500_kurtosis_10d,0.058680168165906,4.0,0.0,1.0,stocks
stocks_SP500_cumret_20d,0.2236208969641672,2.0,0.0,1.0,stocks
stocks_NASDAQ_cumret_20d,0.1118574290245088,2.0,0.0,1.0,stocks
stocks_RUSSELL2000_kurtosis_5d,0.1351139386057801,1.0,0.0,1.0,stocks
stocks_QQQ_ETF_cumret_5d,0.1380801806944244,1.0,0.0,1.0,stocks
stocks_SPY_ETF_cumret_20d,0.2258227493525813,2.0,0.0,1.0,stocks
crypto_ADA_skewness_10d,0.2814713108617579,2.0,0.0,1.0,crypto
crypto_ADA_kurtosis_10d,0.0883399072706047,3.0,0.0,1.0,crypto
stocks_QQQ_ETF_skewness_10d,0.0859452516779652,4.0,0.0,1.0,stocks
stocks_QQQ_ETF_cumret_20d,0.1196876177269027,1.0,0.0,1.0,stocks
stocks_IWM_ETF_kurtosis_5d,0.0634458323997845,1.0,0.0,1.0,stocks
stocks_VTI_ETF_cumret_20d,0.2432998725384222,2.0,0.0,1.0,stocks
stocks_DXY_skewness_5d,0.2050628908297077,1.0,0.0,1.0,stocks
stocks_DXY_kurtosis_5d,0.0581408823021509,1.0,0.0,1.0,stocks
stocks_DXY_cumret_5d,-0.0017856565584704,0.0,1.0,1.0,stocks
stocks_DXY_skewness_10d,0.3067600157375777,1.0,0.0,1.0,stocks
stocks_DXY_cumret_20d,0.156423795284802,3.0,0.0,1.0,stocks
stocks_OIL_kurtosis_20d,-0.100342296152074,0.0,4.0,1.0,stocks
crypto_ETH_skewness_5d,0.1418281553162724,1.0,0.0,1.0,crypto
crypto_ETH_kurtosis_5d,0.084397540739875,2.0,0.0,1.0,crypto
crypto_ETH_cumret_5d,0.10644109571177,1.0,0.0,1.0,crypto
crypto_ADA_kurtosis_5d,0.1871305373244615,1.0,0.0,1.0,crypto
fixed_income_High_Yield_Bonds_skewness_10d,0.1709553279339984,1.0,0.0,1.0,fixed
stocks_DJI_cumret_5d,0.2289300012437382,1.0,0.0,1.0,stocks
crypto_ADA_cumret_10d,0.1457463480015376,2.0,0.0,1.0,crypto
crypto_SOL_skewness_10d,0.1548384758993942,1.0,0.0,1.0,crypto
crypto_SOL_cumret_10d,0.2836258413067533,2.0,0.0,1.0,crypto
crypto_DOGE_skewness_10d,0.170730097631631,2.0,0.0,1.0,crypto
crypto_DOGE_cumret_20d,-0.0228247865010155,0.0,1.0,1.0,crypto
fixed_income_Treasury_7_10Y_ETF_cumret_1d,0.1177850689956233,1.0,0.0,1.0,fixed
stocks_RUSSELL2000_kurtosis_20d,-0.2933099614506159,0.0,1.0,1.0,stocks
stocks_IWM_ETF_skewness_10d,0.2237246246603765,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_skewness_10d,0.2136325181650591,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_cumret_10d,0.1294995079491762,1.0,0.0,1.0,stocks
stocks_IWM_ETF_cumret_10d,0.142154962926836,1.0,0.0,1.0,stocks
stocks_IWM_ETF_kurtosis_20d,-0.2304725899196439,0.0,2.0,1.0,stocks
stocks_OIL_skewness_10d,-0.1985800928723181,0.0,3.0,1.0,stocks
stocks_GOLD_cumret_5d,-0.0291105860834183,0.0,1.0,1.0,stocks
stocks_GOLD_skewness_20d,0.1550589035228529,1.0,0.0,1.0,stocks
stocks_GOLD_cumret_20d,0.1603557852422026,1.0,0.0,1.0,stocks
crypto_BTC_skewness_10d,-0.0839446575710615,0.0,2.0,1.0,crypto
crypto_BNB_cumret_1d,-0.0069525615118611,0.0,1.0,1.0,crypto
crypto_BNB_skewness_10d,0.1697257013915822,2.0,0.0,1.0,crypto
crypto_BNB_kurtosis_10d,0.2611466256154607,2.0,0.0,1.0,crypto
crypto_XRP_cumret_10d,0.1993899707216293,2.0,0.0,1.0,crypto
crypto_SOL_skewness_20d,-0.2073409206235417,0.0,1.0,1.0,crypto
crypto_DOT_kurtosis_10d,0.0760561580573388,1.0,0.0,1.0,crypto
crypto_DOT_cumret_10d,-0.0576977722372226,0.0,1.0,1.0,crypto
crypto_AVAX_cumret_1d,0.1637592739035501,1.0,0.0,1.0,crypto
crypto_AVAX_skewness_5d,-0.1350533675292064,0.0,2.0,1.0,crypto
fixed_income_Treasury_10Y_Yield_kurtosis_10d,-0.0346332341501126,0.0,1.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_cumret_10d,-0.0342713222040726,0.0,1.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_1d,-0.1008375906049992,0.0,1.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_5d,-0.0904844417535598,0.0,2.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_kurtosis_10d,-0.0686417350537311,0.0,2.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_10d,0.0336047847950983,1.0,0.0,1.0,fixed
fixed_income_Treasury_30Y_Yield_kurtosis_10d,-0.0607402225235838,0.0,1.0,1.0,fixed
fixed_income_Treasury_Bond_ETF_cumret_10d,-0.0588773192751126,0.0,1.0,1.0,fixed
fixed_income_Treasury_7_10Y_ETF_skewness_10d,0.1129233964278132,1.0,0.0,1.0,fixed
stocks_SP500_skewness_10d,0.2224693621909519,1.0,0.0,1.0,stocks
stocks_DJI_cumret_10d,0.0566711950230509,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_cumret_1d,-0.0125242746661343,0.0,1.0,1.0,stocks
stocks_SPY_ETF_skewness_10d,0.2180608029635855,1.0,0.0,1.0,stocks
stocks_IWM_ETF_cumret_1d,-0.0357121600119361,0.0,1.0,1.0,stocks
stocks_VTI_ETF_skewness_10d,0.2167837452417522,1.0,0.0,1.0,stocks
stocks_DXY_cumret_10d,0.0427374130659446,1.0,0.0,1.0,stocks
stocks_GOLD_skewness_5d,0.1894610708799662,1.0,0.0,1.0,stocks
stocks_GOLD_kurtosis_5d,0.1437154725018065,1.0,0.0,1.0,stocks
stocks_GOLD_kurtosis_10d,-0.0003255168854569,0.0,1.0,1.0,stocks
stocks_GOLD_cumret_10d,0.1019411241369273,2.0,0.0,1.0,stocks
crypto_DOGE_skewness_5d,-0.1794929222106264,0.0,1.0,1.0,crypto
crypto_MATIC_skewness_5d,-0.3563528669315694,0.0,1.0,1.0,crypto
crypto_XRP_cumret_20d,0.3864644162964564,1.0,0.0,1.0,crypto
crypto_SOL_cumret_1d,0.0710272555438885,1.0,0.0,1.0,crypto
crypto_SOL_cumret_5d,0.3765512945354315,1.0,0.0,1.0,crypto
crypto_DOGE_cumret_5d,0.128639138307542,1.0,0.0,1.0,crypto
crypto_DOGE_cumret_10d,0.0977987308605797,1.0,0.0,1.0,crypto
crypto_MATIC_cumret_10d,0.134913366430556,1.0,0.0,1.0,crypto
crypto_AVAX_skewness_10d,0.2482083328017076,1.0,0.0,1.0,crypto
fixed_income_Treasury_30Y_Yield_cumret_20d,0.0629046732233775,1.0,0.0,1.0,fixed
