,mean_car,positive_events,negative_events,asymmetry_score,category
stocks_RUSSELL2000_kurtosis_10d,0.040031077907653,4.0,0.0,1.0,stocks
stocks_OIL_kurtosis_5d,-0.0478856004230289,0.0,5.0,1.0,stocks
crypto_Binance_Coin_kurtosis_20d,0.0950739764990637,5.0,0.0,1.0,crypto
crypto_Binance_Coin_cumret_10d,0.2529610157584769,3.0,0.0,1.0,crypto
fixed_income_Treasury_10Y_Yield_skewness_5d,0.1541258335135399,3.0,0.0,1.0,fixed
crypto_Ripple_skewness_20d,-0.1026630338944147,0.0,5.0,1.0,crypto
fixed_income_Treasury_5Y_Yield_skewness_5d,0.0736227982691232,3.0,0.0,1.0,fixed
fixed_income_Treasury_30Y_Yield_cumret_5d,0.138141309602647,2.0,0.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_cumret_5d,0.0246197061198708,2.0,0.0,1.0,fixed
fixed_income_Treasury_10Y_Yield_kurtosis_20d,0.1535516870325054,3.0,0.0,1.0,fixed
fixed_income_Treasury_7_10Y_ETF_kurtosis_20d,-0.0270820807820905,0.0,4.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_skewness_5d,0.1083870166361104,3.0,0.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_cumret_5d,0.2792140384412129,3.0,0.0,1.0,fixed
fixed_income_Investment_Grade_Bonds_kurtosis_5d,0.0964954447697803,3.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_kurtosis_20d,0.0730523457804857,5.0,0.0,1.0,fixed
stocks_SP500_realized_vol_5d,-0.1399016995511186,0.0,6.0,1.0,stocks
fixed_income_Investment_Grade_Bonds_skewness_10d,0.0222688459778472,2.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_cumret_5d,0.2580444788215505,3.0,0.0,1.0,fixed
stocks_SPY_ETF_realized_vol_5d,-0.1401495150797004,0.0,6.0,1.0,stocks
crypto_Solana_realized_vol_60d,-0.0223031379764433,0.0,7.0,1.0,crypto
crypto_Cardano_exp_vol_60d,-0.0161045539852866,0.0,7.0,1.0,crypto
crypto_Ethereum_realized_vol_5d,0.0337336458543905,6.0,0.0,1.0,crypto
stocks_GOLD_cumret_5d,-0.0291105860834183,0.0,1.0,1.0,stocks
stocks_IWM_ETF_kurtosis_20d,-0.2304746733493036,0.0,2.0,1.0,stocks
stocks_IWM_ETF_cumret_10d,0.1421547881909487,1.0,0.0,1.0,stocks
stocks_IWM_ETF_skewness_10d,0.2237249407649364,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_kurtosis_20d,-0.2933099614506159,0.0,1.0,1.0,stocks
stocks_RUSSELL2000_cumret_10d,0.1294995079491762,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_skewness_10d,0.2136325181650591,1.0,0.0,1.0,stocks
stocks_DJI_cumret_5d,0.2289300012437382,1.0,0.0,1.0,stocks
crypto_Ethereum_cumret_5d,0.10644109571177,1.0,0.0,1.0,crypto
crypto_Cardano_kurtosis_5d,0.1871305373244615,1.0,0.0,1.0,crypto
crypto_Cardano_skewness_10d,0.2814713108617579,2.0,0.0,1.0,crypto
crypto_Cardano_kurtosis_10d,0.0883399072706047,3.0,0.0,1.0,crypto
crypto_Cardano_cumret_10d,0.1457463480015376,2.0,0.0,1.0,crypto
crypto_Solana_skewness_10d,0.1548384758993942,1.0,0.0,1.0,crypto
crypto_Solana_cumret_10d,0.2836258413067533,2.0,0.0,1.0,crypto
crypto_Chainlink_skewness_10d,0.2416081282138834,2.0,0.0,1.0,crypto
fixed_income_Treasury_7_10Y_ETF_cumret_1d,0.1177021454957195,1.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_skewness_10d,0.1703993215002087,1.0,0.0,1.0,fixed
crypto_Ethereum_kurtosis_5d,0.084397540739875,2.0,0.0,1.0,crypto
crypto_Ethereum_skewness_5d,0.1418281553162724,1.0,0.0,1.0,crypto
stocks_DXY_skewness_10d,0.3067600157375777,1.0,0.0,1.0,stocks
stocks_DXY_cumret_5d,-0.0017856565584704,0.0,1.0,1.0,stocks
stocks_OIL_kurtosis_20d,-0.100342296152074,0.0,4.0,1.0,stocks
stocks_DXY_cumret_20d,0.156423795284802,3.0,0.0,1.0,stocks
stocks_NASDAQ_cumret_20d,0.1118574290245088,2.0,0.0,1.0,stocks
stocks_RUSSELL2000_kurtosis_5d,0.1351139386057801,1.0,0.0,1.0,stocks
stocks_SPY_ETF_cumret_20d,0.2258237325578146,2.0,0.0,1.0,stocks
stocks_QQQ_ETF_cumret_5d,0.1380853464447534,1.0,0.0,1.0,stocks
stocks_QQQ_ETF_skewness_10d,0.085953912492218,4.0,0.0,1.0,stocks
stocks_QQQ_ETF_cumret_20d,0.1196897154006705,1.0,0.0,1.0,stocks
stocks_IWM_ETF_kurtosis_5d,0.0634353995234796,1.0,0.0,1.0,stocks
stocks_VTI_ETF_cumret_20d,0.2433007782832044,2.0,0.0,1.0,stocks
stocks_DXY_skewness_5d,0.2050628908297077,1.0,0.0,1.0,stocks
stocks_DXY_kurtosis_5d,0.0581408823021509,1.0,0.0,1.0,stocks
economic_Labor_Force_Participation_sign,0.1217362660942907,4.0,0.0,1.0,economic
stocks_SP500_kurtosis_10d,0.058680168165906,4.0,0.0,1.0,stocks
stocks_NASDAQ_cumret_5d,0.1769291995818006,1.0,0.0,1.0,stocks
stocks_DJI_skewness_10d,0.1904856680475854,2.0,0.0,1.0,stocks
stocks_SP500_cumret_20d,0.2236208969641672,2.0,0.0,1.0,stocks
fixed_income_Treasury_30Y_Yield_realized_vol_5d,-0.0167653516672273,0.0,3.0,1.0,fixed
crypto_Ripple_cumret_20d,0.3864644162964564,1.0,0.0,1.0,crypto
crypto_Solana_cumret_1d,0.0710272555438885,1.0,0.0,1.0,crypto
crypto_Solana_cumret_5d,0.3765512945354315,1.0,0.0,1.0,crypto
crypto_Avalanche_skewness_10d,0.2482083328017076,1.0,0.0,1.0,crypto
crypto_Polygon_cumret_10d,0.134913366430556,1.0,0.0,1.0,crypto
crypto_Chainlink_cumret_5d,0.2179709156207585,1.0,0.0,1.0,crypto
crypto_Chainlink_cumret_20d,0.3109773724055767,1.0,0.0,1.0,crypto
fixed_income_Treasury_30Y_Yield_cumret_20d,0.0629046732233775,1.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_skewness_5d,0.197092528364652,1.0,0.0,1.0,fixed
fixed_income_High_Yield_Bonds_kurtosis_5d,0.1864820851364146,1.0,0.0,1.0,fixed
fixed_income_Treasury_5Y_Yield_cumret_10d,0.0336047847950983,1.0,0.0,1.0,fixed
fixed_income_Treasury_30Y_Yield_kurtosis_10d,-0.0607402225235838,0.0,1.0,1.0,fixed
fixed_income_Treasury_Bond_ETF_cumret_10d,-0.0588689837103431,0.0,1.0,1.0,fixed
fixed_income_Treasury_7_10Y_ETF_skewness_10d,0.1128886556651046,1.0,0.0,1.0,fixed
economic_Unemployment_Rate_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_Nonfarm_Payrolls_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_CPI_All_Items_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_CPI_Core_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
economic_Federal_Funds_Rate_sign_yoy_change,0.0101464604878219,1.0,0.0,1.0,economic
stocks_SP500_skewness_10d,0.2224693621909519,1.0,0.0,1.0,stocks
stocks_DJI_cumret_10d,0.0566711950230509,1.0,0.0,1.0,stocks
stocks_RUSSELL2000_cumret_1d,-0.0125242746661343,0.0,1.0,1.0,stocks
stocks_SPY_ETF_skewness_10d,0.2180607133299845,1.0,0.0,1.0,stocks
stocks_IWM_ETF_cumret_1d,-0.0357040316102617,0.0,1.0,1.0,stocks
stocks_VTI_ETF_skewness_10d,0.2167833722520966,1.0,0.0,1.0,stocks
stocks_DXY_cumret_10d,0.0427374130659446,1.0,0.0,1.0,stocks
stocks_GOLD_skewness_5d,0.1894610708799662,1.0,0.0,1.0,stocks
stocks_GOLD_kurtosis_5d,0.1437154725018065,1.0,0.0,1.0,stocks
stocks_GOLD_kurtosis_10d,-0.0003255168854569,0.0,1.0,1.0,stocks
stocks_GOLD_cumret_10d,0.1019411241369273,2.0,0.0,1.0,stocks
stocks_GOLD_skewness_20d,0.1550589035228529,1.0,0.0,1.0,stocks
stocks_GOLD_cumret_20d,0.1603557852422026,1.0,0.0,1.0,stocks
crypto_Avalanche_cumret_20d,-0.2268256225559751,0.0,1.0,1.0,crypto
crypto_Polygon_skewness_5d,-0.3563528669315694,0.0,1.0,1.0,crypto
crypto_Binance_Coin_realized_vol_5d,-0.0238250695559807,0.0,2.0,1.0,crypto
stocks_DJI_kurtosis_5d,0.126813535860669,1.0,0.0,1.0,stocks
