,mean_car,std_car,total_events,t_statistic,p_value,category
volatility_VIX_ETN_skewness_5d,0.1797498157411249,0.0,2.0,inf,0.0,volatility
volatility_VIX_ETN_cumret_5d,0.2135764717057605,0.0,2.0,inf,0.0,volatility
fixed_income_Treasury_10Y_Yield_cumret_5d,0.0246197061198708,0.0,2.0,inf,0.0,fixed
fixed_income_Treasury_30Y_Yield_cumret_5d,0.138141309602647,0.0,2.0,inf,0.0,fixed
fixed_income_Investment_Grade_Bonds_skewness_10d,0.0222746281416761,0.0,2.0,inf,0.0,fixed
stocks_DJI_skewness_10d,0.1904856680475854,0.0001899468974871,2.0,1418.2248762914894,0.0004488848542330004,stocks
crypto_Binance_Coin_kurtosis_10d,0.2611466256154607,0.0047602111479925,2.0,77.58418444717603,0.008205081049532215,crypto
crypto_Chainlink_kurtosis_10d,0.1438023318896054,0.0082603395740041,2.0,24.619715235335924,0.025843922720778734,crypto
crypto_Binance_Coin_cumret_10d,0.2529610157584769,0.0286765019138518,3.0,15.278757951166808,0.004256417156827119,crypto
volatility_VIX_ETN_skewness_20d,0.1454627001898592,0.0177449932075169,3.0,14.19830283328978,0.0049239115499053465,volatility
economic_Labor_Force_Participation_sign,0.1217362660942907,0.0175790788028865,4.0,13.850130312209705,0.0008147385261645379,economic
crypto_Ripple_cumret_10d,0.1993899707216293,0.0247152616883675,2.0,11.409144857584876,0.05565684453158948,crypto
fixed_income_Treasury_10Y_Yield_skewness_5d,0.1541258335135399,0.024488189878728,3.0,10.90132736336899,0.008310006306754492,fixed
fixed_income_Investment_Grade_Bonds_cumret_5d,0.2792195974992182,0.0454759561910102,3.0,10.634686323169197,0.008726432804742057,fixed
crypto_Chainlink_cumret_10d,0.1661171745847701,0.027118135741727,2.0,8.663027705086634,0.07316316854701377,crypto
fixed_income_High_Yield_Bonds_cumret_5d,0.2580374112752244,0.0548239483895608,3.0,8.152165608475894,0.014715815986661385,fixed
stocks_SP500_cumret_20d,0.2236208969641672,0.049132258140962,2.0,6.4366613154526116,0.09812085593053,stocks
crypto_Cardano_cumret_10d,0.1457463480015376,0.0362121475192345,2.0,5.691914899569051,0.11071642222914146,crypto
stocks_SPY_ETF_cumret_20d,0.2258264469737591,0.0615260394873373,2.0,5.190758688742638,0.12116047539928743,stocks
stocks_VTI_ETF_cumret_20d,0.2433000843471496,0.0725302490127712,2.0,4.743927998229694,0.1322604569405299,stocks
