category,mean_car_mean,mean_car_median,mean_car_std,mean_car_min,mean_car_max,std_car_mean,std_car_median,total_events_sum,total_events_mean,positive_events_sum,negative_events_sum
bear,-0.0041,-0.0041,,-0.0041,-0.0041,0.159,0.159,3.0,3.0,2.0,1.0
bull,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
crypto,0.0274,0.0053,0.1071,-0.3894,0.3865,0.1022,0.0705,690.0,4.1566,321.0,369.0
economic,0.0715,0.0911,0.0366,0.0101,0.1217,0.0711,0.0702,80.0,3.8095,65.0,15.0
fixed,0.0166,0.0061,0.0659,-0.123,0.2792,0.0896,0.076,640.0,4.8485,288.0,352.0
high,0.044,0.044,,0.044,0.044,0.1303,0.1303,5.0,5.0,4.0,1.0
low,0.0,0.0,,0.0,0.0,,,1.0,1.0,0.0,0.0
stocks,0.0273,0.013,0.0893,-0.2933,0.3068,0.0858,0.0701,850.0,4.4503,437.0,412.0
trend,-0.0122,-0.0122,,-0.0122,-0.0122,0.0691,0.0691,2.0,2.0,1.0,1.0
vix,-0.0474,-0.0474,,-0.0474,-0.0474,0.1305,0.1305,2.0,2.0,1.0,1.0
volatility,0.0117,0.0128,0.1055,-0.3361,0.2136,0.0883,0.085,206.0,4.2917,114.0,92.0
