,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events,category,metric,t_statistic,p_value,significant_5pct,significant_1pct,asymmetry_ratio,asymmetry_score,time_window,pos_neg_ratio
stocks_SP500_cumret_1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,stocks,SP500_cumret_1d,,,False,False,0.0,0.0,1d,0.0
stocks_SP500_skewness_20d,0.0199634553825804,0.0076759268471914,0.0775616088584265,-0.0449201763092004,0.1094221441451392,2.0,2.0,4.0,stocks,SP500_skewness_20d,0.5147767220512347,0.6422346923250914,False,False,0.9995002498750625,0.0,20d,0.99999950000025
stocks_DJI_skewness_20d,-0.0439797478261945,-0.0641610078412043,0.1770087571881913,-0.3215941901696592,0.1556173063670309,2.0,4.0,6.0,stocks,DJI_skewness_20d,-0.6086023251150254,0.5693741776913823,False,False,0.4998750312421894,0.3333333333333333,20d,0.49999987500003124
stocks_RUSSELL2000_kurtosis_10d,0.040031077907653,0.0200326793975665,0.049256325437176,0.008097282161715,0.1119616706737639,4.0,0.0,4.0,stocks,RUSSELL2000_kurtosis_10d,1.6254187681422014,0.20254363276337406,False,False,4000.0,1.0,10d,4000000.0
stocks_SPY_ETF_cumret_1d,-0.0088758037473575,-0.0318379264441549,0.0554276454385167,-0.0745157354066811,0.0656478686096909,2.0,3.0,5.0,stocks,SPY_ETF_cumret_1d,-0.35806862039727055,0.7383884239640759,False,False,0.6664445184938355,0.2,1d,0.6666664444445185
stocks_SPY_ETF_skewness_20d,0.0094185754039119,0.005541217046004,0.0707101635096728,-0.051572223918627,0.0781640914422665,2.0,2.0,4.0,stocks,SPY_ETF_skewness_20d,0.26639948025642696,0.8071924773710621,False,False,0.9995002498750625,0.0,20d,0.99999950000025
stocks_QQQ_ETF_kurtosis_10d,0.1173204108542287,0.1286293896753679,0.0912408227746891,-0.0393125933788193,0.2185997387601231,5.0,1.0,6.0,stocks,QQQ_ETF_kurtosis_10d,3.1496334016648246,0.025389419658460977,True,False,4.9950049950049955,0.6666666666666666,10d,4.999995000005001
stocks_VTI_ETF_cumret_1d,0.0015863969965016,0.0155340821101499,0.0540058778012839,-0.0546441831628313,0.0630043997413422,3.0,2.0,5.0,stocks,VTI_ETF_cumret_1d,0.06568343424638759,0.9507816521856924,False,False,1.4992503748125938,0.2,1d,1.499999250000375
stocks_VTI_ETF_skewness_20d,0.0629925354293973,0.0397252759346951,0.086829986927507,-0.0046229527636614,0.1771425426118604,2.0,2.0,4.0,stocks,VTI_ETF_skewness_20d,1.4509396501922494,0.24269586017201683,False,False,0.9995002498750625,0.0,20d,0.99999950000025
stocks_OIL_kurtosis_5d,-0.0478856004230289,-0.0330748186682799,0.0337042292260376,-0.1073674363945482,-0.0284992413586049,0.0,5.0,5.0,stocks,OIL_kurtosis_5d,-3.1769145934530396,0.033634351694048936,True,False,0.0,1.0,5d,0.0
stocks_OIL_cumret_5d,2.849705406863616e-05,0.0132597103931675,0.0229171337491023,-0.0264339296241291,0.0132597103931675,2.0,1.0,3.0,stocks,OIL_cumret_5d,0.0021537748155285195,0.9984770529889311,False,False,1.9980019980019983,0.3333333333333333,5d,1.9999980000020001
stocks_OIL_skewness_20d,-0.0573260273511716,-0.047192635139246,0.059500005622955,-0.1260481108263014,0.0241566647267072,1.0,5.0,6.0,stocks,OIL_skewness_20d,-2.359991642371024,0.06475170195655022,False,False,0.1999600079984003,0.6666666666666666,20d,0.199999960000008
stocks_OIL_cumret_20d,0.1867709052226372,0.2369345383935942,0.132856239676181,-0.004139500443604,0.2773540445469643,3.0,1.0,4.0,stocks,OIL_cumret_20d,2.8116241386609446,0.06720233583881208,False,False,2.997002997002997,0.5,20d,2.9999970000030003
crypto_BTC_kurtosis_20d,0.0104499685311837,0.0615091141193807,0.1319474565291505,-0.1926418376577909,0.1200747974629082,4.0,2.0,6.0,crypto,BTC_kurtosis_20d,0.19399457483203875,0.8538153680815075,False,False,1.999000499750125,0.3333333333333333,20d,1.9999990000005
crypto_ETH_kurtosis_20d,0.1037839011904024,0.1975361820397183,0.1976838117430592,-0.1920266471389365,0.2120898878211098,3.0,1.0,4.0,crypto,ETH_kurtosis_20d,1.0499989885392962,0.37084019142717417,False,False,2.997002997002997,0.5,20d,2.9999970000030003
crypto_BNB_kurtosis_5d,0.0937317562070219,0.0894968572991302,0.1254683421535174,-0.0555832995793421,0.2515166098091696,3.0,1.0,4.0,crypto,BNB_kurtosis_5d,1.494110061521909,0.2320024209421736,False,False,2.997002997002997,0.5,5d,2.9999970000030003
crypto_BNB_cumret_10d,0.2529610157584769,0.2364046296590977,0.0286765019138518,0.2364046296590977,0.2860737879572353,3.0,0.0,3.0,crypto,BNB_cumret_10d,15.278757951166808,0.004256417156827119,True,True,3000.0,1.0,10d,3000000.0
