,mean_car,median_car,std_car,min_car,max_car,positive_events,negative_events,total_events
stocks_SP500_cumret_1d,-2.312964634635743e-17,-4.163336342344337e-17,4.936185964099392e-17,-1.1102230246251565e-16,5.551115123125783e-17,4.0,8.0,12.0
stocks_SP500_skewness_20d,-0.022134716221768165,-0.059550540769657025,0.08501358935936944,-0.12142714897046081,0.0931383100155147,3.0,5.0,8.0
stocks_NASDAQ_cumret_1d,0.0916639056390573,0.10423611164851954,0.08943026248634198,-0.008860929291875985,0.1670443285510661,3.0,1.0,4.0
economic_PCE_Price_Index_kurtosis_5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
economic_PCE_Price_Index_kurtosis_10d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
economic_PCE_Price_Index_skewness_20d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
economic_PCE_Price_Index_kurtosis_20d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
economic_PCE_Price_Index_cumret_20d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
stocks_SP500_exp_vol_5d,-0.0006948281320741864,-0.013838358812075263,0.06109416252587887,-0.06889117467446203,0.136127599927574,4.0,8.0,12.0
stocks_SP500_realized_vol_10d,0.01916786929278266,0.0019481513299875672,0.07991993658212597,-0.13840143717923553,0.13978918834261195,6.0,6.0,12.0
stocks_SP500_exp_vol_10d,0.026252476048195948,0.012161207383405322,0.059803412349726005,-0.054529267419447656,0.11624420113500597,8.0,4.0,12.0
stocks_SP500_realized_vol_20d,0.043587550144694905,0.042020794918684885,0.05377631283598304,-0.019961925837007476,0.13367248010880628,9.0,3.0,12.0
stocks_SP500_exp_vol_20d,0.03763398941478656,0.030230321040340357,0.05193837324815629,-0.033999026916310966,0.1054363496903674,8.0,4.0,12.0
stocks_SP500_realized_vol_60d,0.01679818541469085,0.014897614434960307,0.01554144410652607,-0.006667575929337689,0.044387247037515246,10.0,2.0,12.0
stocks_SP500_exp_vol_60d,0.02367848465924885,0.022890871877943295,0.025993859329686578,-0.013197272779904772,0.0565532667739878,10.0,2.0,12.0
stocks_NASDAQ_exp_vol_5d,0.0204094743128009,0.022572330851529418,0.09128808030899807,-0.0848677957969294,0.12224565677577304,6.0,6.0,12.0
stocks_NASDAQ_realized_vol_10d,0.03923224773158258,0.007257425166563681,0.08449881354898599,-0.06804821629433734,0.1769326453375899,8.0,4.0,12.0
stocks_NASDAQ_exp_vol_10d,0.04167082645511439,0.004104708149160717,0.08183322741226749,-0.061409645024065006,0.16190181944620344,7.0,5.0,12.0
stocks_NASDAQ_realized_vol_20d,0.047267069440425906,0.03332123125423034,0.06718763302633884,-0.03878848292152932,0.16130970372952996,8.0,4.0,12.0
stocks_NASDAQ_exp_vol_20d,0.04106217836114516,0.02993874138017121,0.07115397297087403,-0.0368722320862961,0.14064851663775244,7.0,5.0,12.0
stocks_NASDAQ_realized_vol_60d,0.014184121843588497,0.016323072331380382,0.01876444013272002,-0.0115732011574463,0.05388590679454813,9.0,3.0,12.0
stocks_NASDAQ_exp_vol_60d,0.025411200846769195,0.024737157585785534,0.03400064782977691,-0.016218206687515287,0.07111627532442152,8.0,4.0,12.0
economic_PCE_Price_Index_exp_vol_5d,0.006864435776075613,0.0022586723838946138,0.01949086218389346,-0.01173451356208291,0.05559450689363918,6.0,6.0,12.0
economic_PCE_Price_Index_exp_vol_10d,0.00249410646498179,0.0019337251390450921,0.0063394191422418535,-0.004733406802748974,0.013782504881167626,6.0,6.0,12.0
economic_PCE_Price_Index_realized_vol_20d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
economic_PCE_Price_Index_exp_vol_20d,0.0007105263996683512,0.0007388037482437132,0.0017269823040454372,-0.0012941295263661154,0.0028718861217790076,6.0,6.0,12.0
economic_PCE_Price_Index_realized_vol_60d,0.004621645472571834,0.00019744726326072215,0.015223789524993453,-3.7058244917416124e-05,0.05295742652175229,10.0,2.0,12.0
economic_PCE_Price_Index_exp_vol_60d,0.00831866894353044,-0.0001498323034519293,0.029829751280238535,-0.0015847142750567977,0.10303027228069357,4.0,8.0,12.0
stocks_DJI_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
stocks_RUSSELL2000_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
stocks_SPY_ETF_sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
