,alpha,beta,residual_std,r_squared,n_observations
stocks_SP500_cumret_1d,-3.3320059702459622e-18,0.9999999999999994,1e-08,1.0,49.0
stocks_SP500_skewness_5d,0.0,1.0,0.0446379185124185,0.1,10.0
stocks_SP500_kurtosis_5d,0.0,1.0,0.04700083021989038,0.1,9.0
stocks_SP500_cumret_5d,0.0,1.0,0.05134140704454065,0.1,7.0
stocks_SP500_skewness_10d,0.0,1.0,0.05013016451719461,0.1,20.0
stocks_SP500_kurtosis_10d,0.0,1.0,0.045399543269467595,0.1,18.0
stocks_SP500_cumret_10d,0.0,1.0,0.05431397185760833,0.1,12.0
stocks_SP500_skewness_20d,-0.04249785399701359,0.030922142135847923,0.10450485723601505,0.0018136505783660217,29.0
stocks_SP500_kurtosis_20d,0.0,1.0,0.03716481456774418,0.1,19.0
stocks_SP500_cumret_20d,0.0,1.0,0.044551199624533966,0.1,18.0
stocks_DJI_cumret_1d,0.0,1.0,0.05921834870288953,0.1,11.0
stocks_DJI_skewness_5d,0.0,1.0,0.04689290309169728,0.1,9.0
stocks_DJI_kurtosis_5d,0.0,1.0,0.04537931675388591,0.1,10.0
stocks_DJI_cumret_5d,0.0,1.0,0.052469638346540885,0.1,13.0
stocks_DJI_skewness_10d,0.0,1.0,0.04968682989312508,0.1,22.0
stocks_DJI_kurtosis_10d,0.0,1.0,0.05029460260314795,0.1,20.0
stocks_DJI_cumret_10d,0.0,1.0,0.055802820659249484,0.1,17.0
stocks_DJI_skewness_20d,0.0,1.0,0.04184214268452451,0.1,28.0
stocks_DJI_kurtosis_20d,0.0,1.0,0.03775708243008012,0.1,29.0
stocks_DJI_cumret_20d,0.0,1.0,0.04383468429031764,0.1,19.0
stocks_NASDAQ_cumret_1d,0.0,1.0,0.05850502882442341,0.1,11.0
stocks_NASDAQ_skewness_5d,0.0,1.0,0.044910668921878075,0.1,13.0
stocks_NASDAQ_kurtosis_5d,0.0,1.0,0.0471119260501492,0.1,10.0
stocks_NASDAQ_cumret_5d,0.0,1.0,0.05274741173139103,0.1,8.0
stocks_NASDAQ_skewness_10d,0.0,1.0,0.04752712051839444,0.1,13.0
stocks_NASDAQ_kurtosis_10d,0.0,1.0,0.045567173877131155,0.1,11.0
stocks_NASDAQ_cumret_10d,0.0,1.0,0.0535455781945436,0.1,13.0
stocks_NASDAQ_skewness_20d,0.0,1.0,0.041888294171844316,0.1,26.0
stocks_NASDAQ_kurtosis_20d,0.0,1.0,0.037756874775188375,0.1,20.0
stocks_NASDAQ_cumret_20d,0.0,1.0,0.044550232577791005,0.1,18.0
stocks_RUSSELL2000_cumret_1d,0.0,1.0,0.05269966379605426,0.1,5.0
stocks_RUSSELL2000_skewness_5d,0.0,1.0,0.047640141339667895,0.1,7.0
stocks_RUSSELL2000_kurtosis_5d,0.0,1.0,0.04543570988629026,0.1,9.0
stocks_RUSSELL2000_cumret_5d,0.0,1.0,0.05231086285260651,0.1,8.0
stocks_RUSSELL2000_skewness_10d,0.0,1.0,0.050487617811720474,0.1,20.0
stocks_RUSSELL2000_kurtosis_10d,0.0,1.0,0.04854009261356864,0.1,21.0
stocks_RUSSELL2000_cumret_10d,0.0,1.0,0.05568656160533893,0.1,16.0
stocks_RUSSELL2000_skewness_20d,0.0,1.0,0.04254520873637163,0.1,25.0
stocks_RUSSELL2000_kurtosis_20d,0.0,1.0,0.039753394814262745,0.1,21.0
stocks_RUSSELL2000_cumret_20d,0.0,1.0,0.04383423488270686,0.1,21.0
stocks_SPY_ETF_cumret_1d,-0.01796848416433245,0.6730967971141532,0.0785149050369271,0.5426756673911047,34.0
stocks_SPY_ETF_skewness_5d,0.0,1.0,0.04402665943785479,0.1,11.0
stocks_SPY_ETF_kurtosis_5d,0.0,1.0,0.04623836319492712,0.1,7.0
stocks_SPY_ETF_cumret_5d,0.0,1.0,0.05138766259731989,0.1,8.0
stocks_SPY_ETF_skewness_10d,0.0,1.0,0.049090984166498104,0.1,19.0
stocks_SPY_ETF_kurtosis_10d,0.0,1.0,0.04625363263263859,0.1,17.0
stocks_SPY_ETF_cumret_10d,0.0,1.0,0.054755349042390426,0.1,13.0
stocks_SPY_ETF_skewness_20d,-0.03769392647205311,0.08928101243678721,0.09814252275396297,0.017740779141912744,29.0
stocks_SPY_ETF_kurtosis_20d,0.0,1.0,0.03738670908284423,0.1,16.0
stocks_SPY_ETF_cumret_20d,0.0,1.0,0.04519670143376365,0.1,18.0
stocks_QQQ_ETF_cumret_1d,0.0,1.0,0.06043329373275904,0.1,11.0
stocks_QQQ_ETF_skewness_5d,0.0,1.0,0.04411401172285831,0.1,10.0
stocks_QQQ_ETF_kurtosis_5d,0.0,1.0,0.046192225367337844,0.1,12.0
stocks_QQQ_ETF_cumret_5d,0.0,1.0,0.05368848036750825,0.1,8.0
stocks_QQQ_ETF_skewness_10d,0.0,1.0,0.04822012848734589,0.1,20.0
stocks_QQQ_ETF_kurtosis_10d,0.0,1.0,0.045856643234003486,0.1,13.0
stocks_QQQ_ETF_cumret_10d,0.0,1.0,0.05554883563298479,0.1,12.0
stocks_QQQ_ETF_skewness_20d,0.0,1.0,0.0421175737334217,0.1,29.0
stocks_QQQ_ETF_kurtosis_20d,0.0,1.0,0.037751597261342,0.1,19.0
stocks_QQQ_ETF_cumret_20d,0.0,1.0,0.04418076480512326,0.1,16.0
stocks_IWM_ETF_cumret_1d,0.0,1.0,0.05798937348560557,0.1,5.0
stocks_IWM_ETF_skewness_5d,0.0,1.0,0.04556258207813361,0.1,8.0
stocks_IWM_ETF_kurtosis_5d,0.0,1.0,0.04534563117109537,0.1,10.0
stocks_IWM_ETF_cumret_5d,0.0,1.0,0.051830525047369194,0.1,7.0
stocks_IWM_ETF_skewness_10d,0.0,1.0,0.04930370350148999,0.1,19.0
stocks_IWM_ETF_kurtosis_10d,0.0,1.0,0.04809647475183867,0.1,20.0
stocks_IWM_ETF_cumret_10d,0.0,1.0,0.05560789536358587,0.1,18.0
stocks_IWM_ETF_skewness_20d,0.0,1.0,0.04271047103867469,0.1,28.0
stocks_IWM_ETF_kurtosis_20d,0.0,1.0,0.041039790984330866,0.1,22.0
stocks_IWM_ETF_cumret_20d,0.0,1.0,0.04471148215565049,0.1,23.0
stocks_VTI_ETF_cumret_1d,0.00041414539258768565,0.03514713386051645,0.11245124029548668,0.0017041705015584663,22.0
stocks_VTI_ETF_skewness_5d,0.0,1.0,0.04566584097813372,0.1,12.0
stocks_VTI_ETF_kurtosis_5d,0.0,1.0,0.04631777841772883,0.1,6.0
stocks_VTI_ETF_cumret_5d,0.0,1.0,0.05321471897073859,0.1,7.0
stocks_VTI_ETF_skewness_10d,0.0,1.0,0.04686230485267263,0.1,25.0
stocks_VTI_ETF_kurtosis_10d,0.0,1.0,0.04571100904735388,0.1,19.0
stocks_VTI_ETF_cumret_10d,0.0,1.0,0.05268336299417859,0.1,13.0
stocks_VTI_ETF_skewness_20d,0.0,1.0,0.04111003142620583,0.1,29.0
stocks_VTI_ETF_kurtosis_20d,0.0,1.0,0.03849957800790961,0.1,24.0
stocks_VTI_ETF_cumret_20d,0.0,1.0,0.044768324261386196,0.1,14.0
stocks_VIX_cumret_1d,0.0,1.0,0.05418639821329182,0.1,4.0
stocks_VIX_skewness_5d,0.0,1.0,0.04748016399295926,0.1,10.0
stocks_VIX_kurtosis_5d,0.0,1.0,0.04829039064561602,0.1,17.0
stocks_VIX_cumret_5d,0.0,1.0,0.05342032225401124,0.1,11.0
stocks_VIX_skewness_10d,0.0,1.0,0.046140265786710516,0.1,20.0
stocks_VIX_kurtosis_10d,0.0,1.0,0.0446397302511542,0.1,20.0
stocks_VIX_cumret_10d,0.0,1.0,0.0521431601246847,0.1,15.0
stocks_VIX_skewness_20d,-0.019916826102699375,0.18640861917164347,0.09396591112881975,0.06608070723175774,33.0
stocks_VIX_kurtosis_20d,0.0029514460781597243,0.16310769670172703,0.08915733745391981,0.05098291437184799,28.0
stocks_VIX_cumret_20d,0.0,1.0,0.0431716953741489,0.1,15.0
stocks_DXY_cumret_1d,0.0,1.0,0.062282816589508586,0.1,1.0
stocks_DXY_skewness_5d,0.0,1.0,0.047515631400294335,0.1,10.0
stocks_DXY_kurtosis_5d,0.0,1.0,0.046993581797758595,0.1,12.0
stocks_DXY_cumret_5d,0.0,1.0,0.050846226671861956,0.1,9.0
stocks_DXY_skewness_10d,0.0,1.0,0.050722897326110496,0.1,26.0
stocks_DXY_kurtosis_10d,0.0,1.0,0.044892415672319635,0.1,18.0
stocks_DXY_cumret_10d,0.0,1.0,0.05403679715264321,0.1,18.0
stocks_DXY_skewness_20d,0.006559275212813326,-0.06688709296934052,0.10321980677187381,0.005361733361371801,24.0
stocks_DXY_kurtosis_20d,0.0,1.0,0.04019143806766724,0.1,19.0
stocks_DXY_cumret_20d,0.0,1.0,0.04309788075469748,0.1,21.0
stocks_GOLD_cumret_1d,0.0,1.0,0.04955477003455874,0.1,4.0
stocks_GOLD_skewness_5d,0.0,1.0,0.046221856380049844,0.1,14.0
stocks_GOLD_kurtosis_5d,0.0,1.0,0.047275499060042386,0.1,12.0
stocks_GOLD_cumret_5d,0.0,1.0,0.053296356187773807,0.1,13.0
stocks_GOLD_skewness_10d,0.0,1.0,0.048310798977686566,0.1,20.0
stocks_GOLD_kurtosis_10d,0.0,1.0,0.04353349237737263,0.1,18.0
stocks_GOLD_cumret_10d,0.0,1.0,0.054968580972199976,0.1,19.0
stocks_GOLD_skewness_20d,0.0,1.0,0.03967368463194646,0.1,24.0
stocks_GOLD_kurtosis_20d,0.0,1.0,0.03846605877165479,0.1,26.0
stocks_GOLD_cumret_20d,0.0,1.0,0.043010787558787886,0.1,19.0
stocks_OIL_cumret_1d,0.0,1.0,0.05874210437417944,0.1,3.0
stocks_OIL_skewness_5d,0.0,1.0,0.04869419723475717,0.1,8.0
stocks_OIL_kurtosis_5d,0.0,1.0,0.04693347479994988,0.1,12.0
stocks_OIL_cumret_5d,0.0,1.0,0.05501943013577997,0.1,6.0
stocks_OIL_skewness_10d,0.0,1.0,0.050409876688282666,0.1,10.0
stocks_OIL_kurtosis_10d,0.0,1.0,0.046828995038634184,0.1,10.0
stocks_OIL_cumret_10d,0.0,1.0,0.05432948413123436,0.1,11.0
stocks_OIL_skewness_20d,0.0,1.0,0.04166322761445659,0.1,29.0
stocks_OIL_kurtosis_20d,0.0,1.0,0.04041786595138719,0.1,19.0
stocks_OIL_cumret_20d,0.0,1.0,0.043554906530807486,0.1,16.0
crypto_Bitcoin_cumret_1d,0.0,1.5,0.059603702282439545,0.1,3.0
crypto_Bitcoin_skewness_5d,0.0,1.5,0.05155890287961809,0.1,10.0
crypto_Bitcoin_kurtosis_5d,0.0,1.5,0.05359279557100854,0.1,11.0
crypto_Bitcoin_cumret_5d,0.0,1.5,0.05783378785696111,0.1,7.0
crypto_Bitcoin_skewness_10d,0.0,1.5,0.05157396146879135,0.1,16.0
crypto_Bitcoin_kurtosis_10d,0.0,1.5,0.049498369887306486,0.1,18.0
crypto_Bitcoin_cumret_10d,0.0,1.5,0.056029830855585744,0.1,14.0
crypto_Bitcoin_skewness_20d,-0.03426449807428875,-0.2394632060417308,0.10132026501463726,0.09003756437936494,29.0
crypto_Bitcoin_kurtosis_20d,0.0,1.5,0.04583065844740331,0.1,29.0
crypto_Bitcoin_cumret_20d,0.0,1.5,0.0512108563289081,0.1,18.0
crypto_Ethereum_cumret_1d,0.0,1.5,0.05521476598431244,0.1,4.0
crypto_Ethereum_skewness_5d,0.0,1.5,0.05252178732792865,0.1,10.0
crypto_Ethereum_kurtosis_5d,0.0,1.5,0.050228105086515956,0.1,12.0
crypto_Ethereum_cumret_5d,0.0,1.5,0.057275031771576765,0.1,10.0
crypto_Ethereum_skewness_10d,0.0,1.5,0.05061655160924526,0.1,19.0
crypto_Ethereum_kurtosis_10d,0.0,1.5,0.048791747096875546,0.1,15.0
crypto_Ethereum_cumret_10d,0.0,1.5,0.05621774294199758,0.1,18.0
crypto_Ethereum_skewness_20d,0.0,1.5,0.04834219293037058,0.1,24.0
crypto_Ethereum_kurtosis_20d,0.0,1.5,0.04754046104445296,0.1,29.0
crypto_Ethereum_cumret_20d,0.0,1.5,0.05325656142832853,0.1,22.0
crypto_Binance_Coin_cumret_1d,0.0,1.5,0.05940759667901742,0.1,2.0
crypto_Binance_Coin_skewness_5d,0.0,1.5,0.050354469834355986,0.1,10.0
crypto_Binance_Coin_kurtosis_5d,0.0,1.5,0.0500545255512256,0.1,15.0
crypto_Binance_Coin_cumret_5d,0.0,1.5,0.06036001737325641,0.1,16.0
crypto_Binance_Coin_skewness_10d,0.0,1.5,0.05276179106162418,0.1,16.0
crypto_Binance_Coin_kurtosis_10d,0.0,1.5,0.05004598128402245,0.1,14.0
crypto_Binance_Coin_cumret_10d,0.0,1.5,0.05657931740930013,0.1,14.0
crypto_Binance_Coin_skewness_20d,0.0,1.5,0.047558775008999826,0.1,29.0
crypto_Binance_Coin_kurtosis_20d,0.0,1.5,0.04595629288829403,0.1,27.0
crypto_Binance_Coin_cumret_20d,0.0,1.5,0.05358310627345097,0.1,16.0
crypto_Ripple_cumret_1d,0.0,1.5,0.05724566043188811,0.1,2.0
crypto_Ripple_skewness_5d,0.0,1.5,0.04863603141257101,0.1,12.0
crypto_Ripple_kurtosis_5d,0.0,1.5,0.051912754984111756,0.1,13.0
crypto_Ripple_cumret_5d,0.0,1.5,0.05778255136331091,0.1,15.0
crypto_Ripple_skewness_10d,0.0,1.5,0.05106831976557594,0.1,23.0
crypto_Ripple_kurtosis_10d,0.0,1.5,0.049773388873424335,0.1,16.0
crypto_Ripple_cumret_10d,0.0,1.5,0.05686765604564072,0.1,14.0
crypto_Ripple_skewness_20d,-0.021401077612572452,-0.10937482696890334,0.10342795246783947,0.018704551218723053,28.0
crypto_Ripple_kurtosis_20d,0.0,1.5,0.046853013717068404,0.1,27.0
crypto_Ripple_cumret_20d,0.0,1.5,0.05398836442799666,0.1,19.0
crypto_Cardano_cumret_1d,0.0,1.5,0.05885941520349636,0.1,4.0
crypto_Cardano_skewness_5d,0.0,1.5,0.053309460656260146,0.1,6.0
crypto_Cardano_kurtosis_5d,0.0,1.5,0.04732780183279106,0.1,9.0
crypto_Cardano_cumret_5d,0.0,1.5,0.05783493386448074,0.1,13.0
crypto_Cardano_skewness_10d,0.0,1.5,0.05131892723084846,0.1,12.0
crypto_Cardano_kurtosis_10d,0.0,1.5,0.0513099927602357,0.1,14.0
crypto_Cardano_cumret_10d,0.0,1.5,0.055907723135089536,0.1,16.0
crypto_Cardano_skewness_20d,-0.006892888400114286,-0.20407997377191778,0.10577344982693346,0.059851362012322995,29.0
crypto_Cardano_kurtosis_20d,0.0,1.5,0.04589180504308353,0.1,24.0
crypto_Cardano_cumret_20d,0.0,1.5,0.05396945967904231,0.1,20.0
crypto_Solana_cumret_1d,0.0,1.5,0.05998768882220581,0.1,4.0
crypto_Solana_skewness_5d,0.0,1.5,0.05211391179841668,0.1,9.0
crypto_Solana_kurtosis_5d,0.0,1.5,0.0505712995263512,0.1,10.0
crypto_Solana_cumret_5d,0.0,1.5,0.05530202617798642,0.1,10.0
crypto_Solana_skewness_10d,0.0,1.5,0.0501686797803272,0.1,15.0
crypto_Solana_kurtosis_10d,0.0,1.5,0.0499329195489173,0.1,18.0
crypto_Solana_cumret_10d,0.0,1.5,0.05714888794788018,0.1,15.0
crypto_Solana_skewness_20d,0.0347482399373872,0.13396024837982856,0.08302359056153208,0.04420395659187448,32.0
crypto_Solana_kurtosis_20d,0.0,1.5,0.0484772921839303,0.1,28.0
crypto_Solana_cumret_20d,0.0,1.5,0.055444944822245636,0.1,21.0
crypto_Polkadot_cumret_1d,0.0,1.5,0.058875132540343746,0.1,5.0
crypto_Polkadot_skewness_5d,0.0,1.5,0.05112715744841908,0.1,12.0
crypto_Polkadot_kurtosis_5d,0.0,1.5,0.0519295150262546,0.1,15.0
crypto_Polkadot_cumret_5d,0.0,1.5,0.05664583663348608,0.1,12.0
crypto_Polkadot_skewness_10d,0.0,1.5,0.051964784631988184,0.1,20.0
crypto_Polkadot_kurtosis_10d,0.0,1.5,0.051500630708812556,0.1,21.0
crypto_Polkadot_cumret_10d,0.0,1.5,0.05677823699586721,0.1,13.0
crypto_Polkadot_skewness_20d,0.0,1.5,0.048932259636699574,0.1,27.0
crypto_Polkadot_kurtosis_20d,0.0,1.5,0.049100419005806334,0.1,26.0
crypto_Polkadot_cumret_20d,0.0,1.5,0.05458003445343297,0.1,20.0
crypto_Avalanche_cumret_1d,0.0,1.5,0.0610410314882449,0.1,3.0
crypto_Avalanche_skewness_5d,0.0,1.5,0.0554132732346958,0.1,12.0
crypto_Avalanche_kurtosis_5d,0.0,1.5,0.05254237446762198,0.1,11.0
crypto_Avalanche_cumret_5d,0.0,1.5,0.056443790143001306,0.1,14.0
crypto_Avalanche_skewness_10d,0.0,1.5,0.050329894783702464,0.1,20.0
crypto_Avalanche_kurtosis_10d,0.0,1.5,0.049839957425616324,0.1,22.0
crypto_Avalanche_cumret_10d,0.0,1.5,0.05739201697951047,0.1,18.0
crypto_Avalanche_skewness_20d,-0.012671473069842036,0.053878092907581145,0.09851188857961951,0.004940211120493365,29.0
crypto_Avalanche_kurtosis_20d,0.0,1.5,0.04771522840722714,0.1,27.0
crypto_Avalanche_cumret_20d,0.0,1.5,0.053264863727516105,0.1,24.0
crypto_Polygon_cumret_1d,0.0,1.5,0.05681076222242757,0.1,4.0
crypto_Polygon_skewness_5d,0.0,1.5,0.051261943343310565,0.1,8.0
crypto_Polygon_kurtosis_5d,0.0,1.5,0.04243975075045294,0.1,12.0
crypto_Polygon_cumret_5d,0.0,1.5,0.05825975085152514,0.1,9.0
crypto_Polygon_skewness_10d,0.0,1.5,0.05007864422810207,0.1,13.0
crypto_Polygon_kurtosis_10d,0.0,1.5,0.04385600131846018,0.1,18.0
crypto_Polygon_cumret_10d,0.0,1.5,0.05805262897617672,0.1,13.0
crypto_Polygon_skewness_20d,-0.018103647647058567,0.0818308263350397,0.10145314769154494,0.011348692875164934,26.0
crypto_Polygon_kurtosis_20d,0.0,1.5,0.043973169687370986,0.1,23.0
crypto_Polygon_cumret_20d,0.0,1.5,0.05350233844440761,0.1,21.0
crypto_Chainlink_cumret_1d,0.0,1.5,0.0584021205135403,0.1,3.0
crypto_Chainlink_skewness_5d,0.0,1.5,0.05086060517156013,0.1,15.0
crypto_Chainlink_kurtosis_5d,0.0,1.5,0.05215144104795878,0.1,10.0
crypto_Chainlink_cumret_5d,0.0,1.5,0.05698316686079947,0.1,9.0
crypto_Chainlink_skewness_10d,0.0,1.5,0.048036933894586735,0.1,13.0
crypto_Chainlink_kurtosis_10d,0.0,1.5,0.05189386396336062,0.1,22.0
crypto_Chainlink_cumret_10d,0.0,1.5,0.05637936350430158,0.1,12.0
crypto_Chainlink_skewness_20d,0.0,1.5,0.04990911879168496,0.1,26.0
crypto_Chainlink_kurtosis_20d,0.0,1.5,0.048014605428816956,0.1,24.0
crypto_Chainlink_cumret_20d,0.0,1.5,0.05561611217779814,0.1,17.0
volatility_VIX_Index_cumret_1d,0.0,1.0,0.053525722210031004,0.1,4.0
volatility_VIX_Index_skewness_5d,0.0,1.0,0.048265211949722095,0.1,10.0
volatility_VIX_Index_kurtosis_5d,0.0,1.0,0.04922170104310649,0.1,15.0
volatility_VIX_Index_cumret_5d,0.0,1.0,0.05441333804709617,0.1,11.0
volatility_VIX_Index_skewness_10d,0.0,1.0,0.0459923139391093,0.1,19.0
volatility_VIX_Index_kurtosis_10d,0.0,1.0,0.04613472125513732,0.1,19.0
volatility_VIX_Index_cumret_10d,0.0,1.0,0.052605597424402205,0.1,15.0
volatility_VIX_Index_skewness_20d,-0.011823676157324272,0.15853274678925738,0.09343336047627303,0.049798262123456394,31.0
volatility_VIX_Index_kurtosis_20d,0.0,1.0,0.03920381342680202,0.1,29.0
volatility_VIX_Index_cumret_20d,0.0,1.0,0.04369992684185104,0.1,15.0
volatility_VIX_ETN_cumret_1d,0.0,1.0,0.05913061821880252,0.1,5.0
volatility_VIX_ETN_skewness_5d,0.0,1.0,0.04489440917736567,0.1,17.0
volatility_VIX_ETN_kurtosis_5d,0.0,1.0,0.04479525786028034,0.1,13.0
volatility_VIX_ETN_cumret_5d,0.0,1.0,0.05142584786932279,0.1,12.0
volatility_VIX_ETN_skewness_10d,0.0,1.0,0.04771695057725378,0.1,18.0
volatility_VIX_ETN_kurtosis_10d,0.0,1.0,0.0468250005891837,0.1,17.0
