,stocks_SP500_cumret_1d,stocks_SP500_skewness_5d,stocks_SP500_kurtosis_5d,stocks_SP500_cumret_5d,stocks_SP500_skewness_10d,stocks_SP500_kurtosis_10d,stocks_SP500_cumret_10d,stocks_SP500_skewness_20d,stocks_SP500_kurtosis_20d,stocks_SP500_cumret_20d,stocks_NASDAQ_cumret_1d,stocks_NASDAQ_skewness_5d,stocks_NASDAQ_kurtosis_5d,stocks_NASDAQ_cumret_5d,stocks_NASDAQ_skewness_10d,stocks_NASDAQ_kurtosis_10d,stocks_NASDAQ_cumret_10d,stocks_NASDAQ_skewness_20d,stocks_NASDAQ_kurtosis_20d,stocks_NASDAQ_cumret_20d,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,economic_PCE_Price_Index_cumret_1d,economic_PCE_Price_Index_skewness_5d,economic_PCE_Price_Index_kurtosis_5d,economic_PCE_Price_Index_cumret_5d,economic_PCE_Price_Index_skewness_10d,economic_PCE_Price_Index_kurtosis_10d,economic_PCE_Price_Index_cumret_10d,economic_PCE_Price_Index_skewness_20d,economic_PCE_Price_Index_kurtosis_20d,economic_PCE_Price_Index_cumret_20d,stocks_SP500_realized_vol_5d,stocks_SP500_exp_vol_5d,stocks_SP500_jump_5d,stocks_SP500_realized_vol_10d,stocks_SP500_exp_vol_10d,stocks_SP500_jump_10d,stocks_SP500_realized_vol_20d,stocks_SP500_exp_vol_20d,stocks_SP500_jump_20d,stocks_SP500_realized_vol_60d,stocks_SP500_exp_vol_60d,stocks_SP500_jump_60d,stocks_NASDAQ_realized_vol_5d,stocks_NASDAQ_exp_vol_5d,stocks_NASDAQ_jump_5d,stocks_NASDAQ_realized_vol_10d,stocks_NASDAQ_exp_vol_10d,stocks_NASDAQ_jump_10d,stocks_NASDAQ_realized_vol_20d,stocks_NASDAQ_exp_vol_20d,stocks_NASDAQ_jump_20d,stocks_NASDAQ_realized_vol_60d,stocks_NASDAQ_exp_vol_60d,stocks_NASDAQ_jump_60d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_jump_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_jump_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_jump_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Ethereum_jump_60d,economic_PCE_Price_Index_realized_vol_5d,economic_PCE_Price_Index_exp_vol_5d,economic_PCE_Price_Index_jump_5d,economic_PCE_Price_Index_realized_vol_10d,economic_PCE_Price_Index_exp_vol_10d,economic_PCE_Price_Index_jump_10d,economic_PCE_Price_Index_realized_vol_20d,economic_PCE_Price_Index_exp_vol_20d,economic_PCE_Price_Index_jump_20d,economic_PCE_Price_Index_realized_vol_60d,economic_PCE_Price_Index_exp_vol_60d,economic_PCE_Price_Index_jump_60d,stocks_DJI_sign,stocks_RUSSELL2000_sign,stocks_SPY_ETF_sign,stocks_QQQ_ETF_sign,stocks_IWM_ETF_sign,stocks_VTI_ETF_sign,stocks_VIX_sign,stocks_DXY_sign,stocks_GOLD_sign,stocks_OIL_sign,crypto_Bitcoin_sign,crypto_Binance_Coin_sign,crypto_Ripple_sign,crypto_Cardano_sign,crypto_Solana_sign,crypto_Polkadot_sign,crypto_Avalanche_sign,crypto_Polygon_sign,crypto_Chainlink_sign,economic_Unemployment_Rate_sign,economic_Nonfarm_Payrolls_sign,economic_Labor_Force_Participation_sign,economic_Initial_Claims_sign,economic_CPI_All_Items_sign,economic_CPI_Core_sign,economic_PCE_Core_sign,economic_Gross_Domestic_Product_sign,economic_Real_GDP_sign,economic_Potential_GDP_sign,economic_Federal_Funds_Rate_sign,economic_Treasury_10Y_sign,economic_Treasury_2Y_sign,economic_Treasury_3M_sign,economic_Money_Supply_M1_sign,economic_Money_Supply_M2_sign,economic_Consumer_Sentiment_sign,economic_Industrial_Production_sign,economic_Capacity_Utilization_sign,volatility_VIX_Index_sign,volatility_VIX_ETN_sign,volatility_Ultra_VIX_Short_Term_sign,fixed_income_Treasury_10Y_Yield_sign,fixed_income_Treasury_5Y_Yield_sign,fixed_income_Treasury_30Y_Yield_sign,fixed_income_Treasury_Bond_ETF_sign,fixed_income_Treasury_7_10Y_ETF_sign,fixed_income_Treasury_1_3Y_ETF_sign,fixed_income_Investment_Grade_Bonds_sign,fixed_income_High_Yield_Bonds_sign,bull_market,bear_market,trend_strength,economic_Unemployment_Rate_sign_yoy_change,economic_Nonfarm_Payrolls_sign_yoy_change,economic_CPI_All_Items_sign_yoy_change,economic_CPI_Core_sign_yoy_change,economic_Real_GDP_sign_yoy_change,economic_Potential_GDP_sign_yoy_change,economic_Federal_Funds_Rate_sign_yoy_change
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1963115031304783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,
2015-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1650088575661821,,,-0.13973089947353434,,,-0.1270405628187874,,,-0.11866533399059565,,,-0.14744304674550013,,,-0.12274286153558511,,,-0.11054015312410082,,,-0.1025718448371784,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2015-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.02383191496947834,,,-0.001508873368759267,,,-0.011779422551653984,,,-0.017451410562375314,,,-0.07538275265705752,,,-0.08615216218841826,,,-0.08662807591105692,,,-0.08523767508304525,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2015-10-04,,-0.018881255712634326,0.02083640229843331,-0.033929153226279984,,,,,,,,,0.09796193186459856,0.16609403201309214,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.026376610364582165,-0.11913437434586449,,,-0.07075366270329664,,,-0.0543501936098143,,,-0.045967141664092326,,-0.111750003771528,-0.14539103509407225,,,-0.10359024147516149,,,-0.087877502276694,,,-0.07875772206976372,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2015-10-05,,-0.057589849490418565,0.09318414140666209,-0.021986010299531844,,,,,,,,-0.15758440543311503,,-0.1700552065778873,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,-0.028577298605198975,,,,0.1525849149224221,,,0.10268432750547074,,,0.0765768922711123,,-0.1902230398036211,0.022051168961331413,,,-0.022932060289350242,,,-0.030833822653981047,,,-0.032231097584568436,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,
2015-10-06,,-0.1359950384764712,0.0018365583322459411,-0.16224352255138585,,,,,,,,,-0.18690590794588657,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.12472630180265676,0.059728292713377096,,,0.04931003947361812,,,0.04103894414590137,,,0.03465809951227028,,,0.16395331280786007,,,0.0933201180405685,,,0.060575196506251316,,,0.041926356513986685,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,
