,crypto_Ethereum_cumret_1d,crypto_Ethereum_skewness_5d,crypto_Ethereum_kurtosis_5d,crypto_Ethereum_cumret_5d,crypto_Ethereum_skewness_10d,crypto_Ethereum_kurtosis_10d,crypto_Ethereum_cumret_10d,crypto_Ethereum_skewness_20d,crypto_Ethereum_kurtosis_20d,crypto_Ethereum_cumret_20d,crypto_Ethereum_realized_vol_5d,crypto_Ethereum_exp_vol_5d,crypto_Ethereum_realized_vol_10d,crypto_Ethereum_exp_vol_10d,crypto_Ethereum_realized_vol_20d,crypto_Ethereum_exp_vol_20d,crypto_Ethereum_realized_vol_60d,crypto_Ethereum_exp_vol_60d,crypto_Solana_sign
2017-11-13,,,,,,,,,,,,,,,,,,,
2017-11-14,,,,,,,,,,,,,,,,,,,
2017-11-15,,,,,,,,,,,,,,,,,,,
2017-11-16,,,,,,,,,,,,,,,,,,,
2017-11-17,,,,,,,,,,,,,,,,,,,
2017-11-18,,,,,,,,,,,,,,,,,,,
2017-11-19,,,,,,,,,,,,,,,,,,,
2017-11-20,,,,,,,,,,,,,,,,,,,
2017-11-21,,,,,,,,,,,,,,,,,,,
2017-11-22,,,,,,,,,,,,,,,,,,,
2017-11-23,,,,,,,,,,,,,,,,,,,
2017-11-25,,,,,,,,,,,,,,,,,,,
2017-11-26,,,,,,,,,,,,,,,,,,,
2017-11-27,,,,,,,,,,,,,,,,,,,
2017-11-28,,,,,,,,,,,,,,,,,,,
2017-11-29,,,,,,,,,,,,,,,,,,,
2017-11-30,,,,,,,,,,,,,,,,,,,
2017-12-01,,,,,,,,,,,,,,,,,,,
2017-12-02,,,,,,,,,,,,,,,,,,,
2017-12-03,,,,,,,,,,,,,,,,,,,
2017-12-04,,,,,,,,,,,,,,,,,,,
2017-12-05,,,,,,,,,,,,,,,,,,,
2017-12-06,,,,,,,,,,,,,,,,,,,
2017-12-07,,,,,,,,,,,,,,,,,,,
2017-12-08,,,,,,,,,,,,,,,,,,,
2017-12-09,,,,,,,,,,,,,,,,,,,
2017-12-10,,,,,,,,,,,,,,,,,,,
2017-12-11,,,,,,,,,,,,,,,,,,,
2017-12-12,,,,,,,,,,,,,,,,,,,
2017-12-13,,,,,,,,,,,,,,,,,,,
2017-12-14,,,,,,,,,,,,,,,,,,101.9218251041384,
2017-12-15,,,,,,,,,,,,,,,,,,96.66164351581979,
2017-12-16,,,,,,,,,,,,,,,,89.51870816835671,,96.07755459518282,
2017-12-17,,,,,,,,,,,,,,119.67875517431254,,84.74842509271639,,92.75107389199889,
2017-12-18,,,,,,,,,,,,,,116.07318246989398,,82.92726086864587,,89.45015425556309,
2017-12-19,,,,,,,,,,,,176.28786810630862,,114.56480624101728,,80.4349387460055,,86.4443972304928,
2017-12-20,,,,,,,,,,,,176.06268709194205,,113.34897399184867,,77.29669565148373,,86.47746622052549,
2017-12-21,,,,,,,,,,,,173.21548008061706,,111.40456819231848,,74.05560254045321,,84.68804827740219,
2017-12-22,,,,,,,,,,,,,,,,,,,
2017-12-23,,,,,,,,,,,,173.71610852889864,,108.40030753534865,,74.04935331264856,,83.94373668104205,
2017-12-24,,,,,,,,,,,,174.3235373200422,,108.36686147783685,,72.03465546001715,,83.80030902066663,
2017-12-25,,,,,,,,,,,,175.0191599667701,,107.27428076273844,,71.61421293222458,,83.65834849905512,
2017-12-26,,,,,,,,,,,,171.81498896066944,94.25669112931801,108.02451226801084,,72.05548796409286,,81.60869004302452,
2017-12-27,,,,,,,,,,,,170.46778312300253,94.312235902961,106.09749722486268,,70.39926740354278,,81.7135241232706,
2017-12-28,,,,,,,,,,,148.87664070103855,170.39636008685952,97.12677250139727,100.47735998348493,,60.759677107003796,,81.0801084128763,
2017-12-29,,,,,,,,,,,150.32905698603633,155.3868760455809,86.13288970928615,84.62693647289957,,60.41887335951931,,80.53547070033501,
2017-12-30,,,,,,,,,,,,141.25148438193096,86.14071793122223,80.77574842144757,,60.072159769640635,,80.46648371472192,
2017-12-31,,,,,,,,,,,,134.85855605157855,86.06929043208167,81.22726486057509,68.02746187179649,59.388915170431886,,61.631581369332345,
2018-01-01,,,,,,,,,,,144.53395240260085,135.94847558668727,,81.14720162945375,,59.57591561204725,,61.54057770459179,
2018-01-02,,,,,,,,,,,,,,,67.83703082674029,71.14437383865626,,62.596066006079774,
2018-01-03,,,,,,,,,,,143.69790244479427,135.0922903487541,85.90935647738827,80.53562879425256,67.98680305041931,70.91021437678376,,62.25532083507779,
2018-01-04,,,,,,,,,,,,134.65314142261394,88.0089388405488,81.00148929582114,67.88698391313862,70.9872900509621,,61.94746479777018,
2018-01-05,,,,,,,,,,,141.12719476803198,133.6620800484836,88.01660313800977,81.3645574718968,67.8989389049823,70.81356100677824,,61.62779428053182,
2018-01-06,,,,,,,,,,,137.6216353397328,135.5356631342158,88.35675088194003,81.6212297168191,67.35423344441455,70.55049717229667,,61.604908058023526,
2018-01-07,,,,,,,,,,,,153.10965106455953,88.64815207590712,85.67947519782682,67.34607744157728,71.18324366528006,,57.87779656093658,
2018-01-08,,,,,,,,,,,133.0908884293455,160.50217280918568,88.15547299287044,85.26245360642602,62.890693766242464,58.02900180537951,,57.558627472508824,
2018-01-09,,,,,,,,,,,,177.71275499389358,92.61769624026766,97.50058573468831,64.31495327370715,61.724079841111724,,58.022498528625,
2018-01-10,,,,,,,,,,,,193.81929453363438,94.96864073154187,103.8837808953489,64.33636484811201,62.38375235264056,,57.825083025239834,
2018-01-11,,,,,,,,,,,,205.54710209013356,,121.04566396695995,86.02360390159036,70.2647195027994,,56.86875279202444,
2018-01-12,,,,,,,,,,,127.07009776653497,202.28597661286258,96.96051398770061,121.41583433782411,84.71078944226736,64.10353805929181,,25.082209913342407,
2018-01-13,,,,,,,,,106.19486431458658,,123.92326013517729,201.7987414699822,94.49233384742092,107.54528097960525,72.03497927799043,63.724352349157954,,25.102341940775748,
2018-01-14,,,,,,,,,105.09149475317803,,130.27140159685268,198.6861130920105,85.62298022458947,106.25043146910642,72.01988976891232,63.55652933667319,,24.93076871344507,
2018-01-15,,,,,,,,,,135.3607841079845,130.31460374108616,199.14178081788882,89.16311496591965,107.87706351027879,71.71483866866205,64.39937161537077,,25.164131982594874,
2018-01-16,,,,,,,,,,,,,,,,,,54.13377024701632,
2018-01-17,,,,,,,,,98.19960923506544,135.34810298881726,128.47807139439047,201.94622179829733,90.32156204500798,109.18500626151075,71.72345954809674,64.10893710118934,,53.81568508858274,
2018-01-18,,,,,,,,,98.34672811479011,134.52449821613564,138.14410428151396,198.77415949170648,90.36554211020496,108.57462323981888,71.72435675428167,63.90315516866346,,54.041743760172444,
2018-01-19,,,,,,,,,,143.34167078695458,138.69542233202142,197.56796326808686,93.04575499145024,108.34889882530906,71.82736348121222,64.61385851103915,,53.916688300524854,
2018-01-20,,,,,,,,,104.74109768270704,143.6430355229191,,208.0609235875678,98.0430765112584,112.8513325705059,72.00223907016483,64.97120168437537,,53.80600456352844,
2018-01-21,,,,,,,,,,,,206.14166520656184,97.9990647725049,111.95674869953385,69.84980362912945,65.58228762265581,,53.76034264228884,
2018-01-22,,,,,,,,,114.67367169166889,,138.77761812357878,209.28464940590504,100.17766719922258,113.11377160333068,71.02816817520795,65.46695393709484,,53.66292252934163,
2018-01-23,,,,,,,,,,,137.9941183950732,211.32068075219533,101.78049507967415,114.1025558386185,71.33308676731734,66.03333342663053,,53.77818396152186,
2018-01-24,,,,,,,,142.0013471894758,,,140.63598983492597,215.89347015816546,103.62216403552944,114.81218815846984,71.52211887395771,65.72437180007698,,53.815655681949835,
2018-01-25,,,,,,,,135.68522573663793,114.65299939559459,,,216.059132018046,102.62793165039878,115.40021649348719,71.43891401683663,66.46300310029135,,53.70613082791933,
2018-01-26,,,,,,,,136.93379927610428,118.31614472268808,,,218.27552275557642,,116.36876304883212,71.28650554581422,66.45442363712223,,53.726682429859075,
2018-01-27,,,,,,,,140.83540108708087,,,142.71542654554656,214.43296437525086,102.58379825299653,114.84635160846688,71.1596929560285,66.04906961158254,,53.78150004017247,
2018-01-28,,,,,,,,135.02793343726614,,,,,113.95028495647904,126.77913615701102,73.12188806596942,69.8233461759597,,53.66730418316813,
2018-01-29,,,,,,,,139.2866692386256,,,,219.80197132580977,113.25179207989736,126.36603454177606,74.36684525240973,68.88359134904688,,53.66503119289423,
2018-01-30,,,,,,,,148.5881081447278,,,,223.32448292945153,113.26300293437221,129.31221419211175,75.03122865305706,70.73380553804654,,53.73420955058662,
2018-01-31,,,,,,,,,,,130.73517893182367,221.480217407135,115.93344304439385,129.86370787485916,75.08967432296889,70.93107901774218,,53.5409960392476,
2018-02-01,,,,,,,,,118.20888023770004,,132.122687250004,221.55441039303443,114.97388325688212,129.88569908218403,73.43969928784159,69.87596662678993,,52.47285426053312,
2018-02-02,,,,,,,,,,,,220.67915668275378,123.7992857912167,131.06436487448903,70.39527609639836,64.86423766557684,,53.25874213760895,
2018-02-03,,,,,,,,,,152.36169187421814,,217.84587581479906,124.17362091674784,130.49863003334448,70.28300027067199,64.87834775161515,,52.98216540533149,
2018-02-04,,,,,,,,150.3863175411746,,,136.07526907404554,215.93286198315712,129.81544179043013,131.93843292705984,72.3036806086374,68.39356641974845,,53.83385310856973,
2018-02-05,,,,,,171.8087185297401,,,,152.70952299928953,132.2567472253416,214.2343631316149,134.68627902015677,132.3012545726375,72.85104543697528,73.0957031456024,,55.93077634437673,
2018-02-06,,,,,,165.60643062690897,,151.09329817316856,,,,,134.12139120665506,,76.28620019825463,75.58957628600032,,56.12465600264206,
2018-02-07,,,,,,,,,118.64118388345248,,132.44193892345905,217.2374971983292,140.4931951681454,132.36345331166035,76.2851002761533,77.10969381972825,29.809306964587947,56.0345118952884,
2018-02-08,,,,,,,,,,,130.6234218316821,211.0323318162162,140.91380268674828,132.0081541508001,76.65493191085746,76.35018848349922,29.938411754213057,55.99715678473288,
2018-02-09,,,,,,166.62273644257033,,,118.42144648263834,156.78930010529314,131.49098493290055,208.96022834814931,140.27626761260973,132.29048468066011,75.37343874781904,75.13622683544948,31.020639423942104,55.99694041903658,
2018-02-10,,,,,,168.11856741239643,,,,,,209.7094352188315,140.80619522468416,130.8198952469266,75.51467850008645,76.52373407500814,37.044922235519415,56.059652567444516,
2018-02-11,,,,,,161.1211316530894,,151.6034891632344,120.46831308419921,156.13332417284883,133.96422047131625,200.87367195332436,136.78699628194352,129.6054529526493,50.159118167053606,72.40101698359523,37.103176571080525,56.26820918791713,
2018-02-12,,,,,,,,,127.64749981516219,,133.17065786507055,189.51742813245244,130.36510056876003,116.75749493369672,49.942463001089976,72.4801183088512,37.10417122918695,56.356239215034,
2018-02-13,,,,,,158.70129954936496,,,128.37911338579028,,133.12613337188003,181.36909055301015,128.3715930146639,118.43081535768923,50.36611766698647,73.51268229490829,37.11044229633026,56.51875723284536,
2018-02-14,,,,,,,,,,,122.40652120876511,183.73026524079324,130.97023748517174,118.76162472548783,50.8485091366934,73.47961341267806,37.10459396903339,56.52819176000769,
2018-02-15,,,,,,,,153.21424351273888,124.9979136199224,159.36755035854412,122.83259711850272,187.16258081449945,,120.99272732467166,49.35281457780349,74.26070523218941,27.898988194359365,33.152208175428754,
2018-02-16,,,,,,162.43526703394758,,157.475457794648,125.00312594778178,,,190.73282881996633,139.41210363043615,122.26155373355748,49.48934736975652,74.6061091768376,28.21677659592333,33.38625628372892,
2018-02-17,,,,,,,,,130.69356058436415,,124.533076583139,193.6516047467044,140.48448654269546,121.95452275068357,51.86066664876159,74.49001113664325,28.22281342900892,33.253278431755675,
2018-02-18,,,,,,160.10202003776928,,157.22131386640186,127.10331869659674,159.3503918976072,136.93326364963286,,139.53162240850102,121.36166549223178,51.57325196947038,73.44384060666913,28.218745535834966,32.90292063967393,
2018-02-19,,,,,,,,,,,,192.45495056792396,142.7076906316379,121.20305361954173,51.73723149745686,73.80510814854821,28.136488828280953,33.1598289083605,
2018-02-20,,,,,,,,,,,,195.53188488682883,138.60998150197366,118.2681284241317,49.6507725998801,73.43535217793067,31.555963561013474,32.74405335454325,
2018-02-21,,,,,,159.40937648095277,,158.3863509396501,,161.73467203573563,138.1757274124884,192.7970777712585,136.0707316429266,117.84644706364338,48.04520464658491,73.08397248048978,31.555711772266935,32.74048905329585,
2018-02-22,,,,,,,,162.33370511558905,,,,183.48638229236093,137.23288144353612,117.09680528588787,49.69423377442162,72.50851018647198,30.71176372288424,32.5824405198238,
2018-02-23,,,,,,,,159.29929767606322,,162.36195896058018,,,136.77422550307477,120.65483430807431,49.42009768217945,72.67406753276374,30.80873661098848,32.5631320665049,
2018-02-24,,,,,,,,159.47088852708663,,,138.82482820453902,182.3313848569741,144.29608021905918,121.68991546124272,55.46324966517795,72.37027431041811,30.81011797935992,32.450745088026935,
2018-02-25,,,,,,161.64421072691422,,,,,136.0183289547107,182.20117876767085,142.53079940560312,121.35535166837282,78.58530239681247,72.28916049803242,30.810532864772348,32.42351025984359,
2018-02-26,,,,,,,,,,,136.9395985359718,178.6908975861629,142.80729034642653,119.43411575145105,84.78090662736383,72.42963382516295,30.812172404997927,32.45752664614341,
2018-02-27,,,,,,,,,127.53476430349144,,,174.93716052207407,143.3970094713479,121.22176996570894,82.24147373881694,69.82275636682172,30.777106135092218,32.17052022069285,
2018-02-28,,,,,121.38096588814382,,,,,,,172.65701993183643,135.58300593958225,108.3937012877497,82.22593448774582,70.30003051374298,30.73842794902582,32.36460662513371,
2018-03-01,,,,,120.9052319653834,156.35524900965487,,159.98542726524605,,,140.14339027110196,169.0862718258702,134.5198445770243,108.41023935297724,82.37472256805441,68.49540581503769,30.265288718620543,31.761460793657783,
2018-03-02,,,,,121.34568539597478,,,160.00296895497812,125.8919647111926,,147.5379162354881,169.2942466559959,136.21921059488042,101.99025712715635,82.46922787619259,68.80372015730363,30.263730486319258,31.81100022304716,
2018-03-03,,,,,124.60487213166913,,,159.5771927261994,,,155.367482595063,158.19311358308354,138.22142387982205,103.30963430806833,82.82046427154138,69.32737783381518,31.033450545687824,31.914243248334795,
2018-03-04,,,,,,,,170.38718802567584,,,152.83476222944697,145.37623799077357,141.92042989726093,103.6948207597759,83.50594054386652,65.36111415052395,29.987986725419553,29.85578057522087,
2018-03-05,,,,,,,,169.3452176637383,,,156.97421568856745,145.6443843781626,,96.83445994783551,82.59164324874114,65.73468178588541,29.970725606172145,29.96303781245528,
2018-03-06,,,,,,,,,,,,,140.29231888428296,106.1832382744829,84.79279349232901,58.53698260824213,29.0876097479188,25.63132246475372,
2018-03-07,,,,,,,,,,,,,,,94.23308492189312,57.92645009617012,25.422773254834762,14.783485732978782,
2018-03-08,,,,,,,,,,,153.00717669096494,145.4126861837374,140.71905838484446,98.35242348649285,91.8591889443667,48.71286966895779,24.799460982575667,10.844620554994519,
2018-03-09,,,,,,158.4625381807879,,164.11274762147724,126.12480348372873,161.11840693746794,,,136.67715701856304,101.16660293042858,92.0001452535643,49.45518125396067,24.812296582315163,10.82725105770964,
2018-03-10,,,,,,,,158.31145274281803,123.05010137567169,160.60813267810317,144.3016319661481,138.55108224476,130.77872941413884,99.96625729673953,91.28797815329315,49.26590259274258,25.384631513151124,10.70402622395833,
2018-03-11,,,,,,,,,126.35221209708527,154.75392011305877,,,132.16562381129464,115.36025125822246,94.10011622406482,53.91234618884495,25.39604650735087,10.771700751646023,
2018-03-12,,,,,,158.85786435256193,161.665765876349,162.35647720742935,125.66353228076137,153.5742591669765,146.88638006341668,129.74103858669858,128.4061095447526,116.19465334027379,94.1107876582568,53.672921320758704,19.15179490729814,10.71066422893015,
2018-03-13,,,,,,166.23557226488273,163.1924576758211,,,147.50095589787188,151.0142753369203,118.75279446419142,125.1996491409156,116.50811466698201,93.78066834326802,54.08591749989963,19.680953400231626,10.841367234984295,
2018-03-14,,,,,,,,,,,,,136.08167299437548,,107.68418225312566,80.16310228349951,19.531270306040255,18.013744087688526,
2018-03-15,,,,,,,162.2152543678195,,,,151.02981919750425,111.29799576434161,136.19745008928103,116.59918594076208,108.9854893473865,80.08315192184929,19.513375553763627,18.057643094376136,
2018-03-16,,,,,,174.6322423092455,162.76937513016372,164.75660834104383,139.1662229143538,147.40878970275597,,110.62701583458032,136.24825135764422,117.71126055715469,107.94827343705565,80.21064028042255,19.035984953399467,17.795734803490085,
2018-03-17,,,,,,167.40910339035025,156.64942189905312,,,,149.61550110963086,116.63824445612119,136.20645432769365,118.42747828154818,110.13888610796474,80.90163596389934,24.672551196633655,18.46270349777329,
2018-03-18,,,,,,,159.16434745650062,159.81601563315576,,149.6858451182367,147.04081450852163,117.45897443183864,136.29989339247587,118.45415968087197,110.16106738702773,80.90549803155592,24.707428240505223,18.421843828591935,
2018-03-19,,,,,122.31807525398119,173.48127901114538,157.76153028076584,162.01684064409807,,149.87163575504647,149.2549631748616,,135.0839131540257,122.98887208470346,110.82753713471847,81.26502496853826,24.777272628543304,18.34701303959721,
2018-03-20,,,,,,,,,148.9135737302893,149.1070766694207,147.80703017842646,118.53140385246618,128.19543490306557,122.19781125967914,110.95073817347627,81.61272775551288,24.648074733892557,18.45851819911994,
