,count,mean,std,min,25%,50%,75%,max
Unemployment_Rate,60.0,4.3566666666666665,1.043196955040442,3.4,3.6750000000000003,4.0,4.225,7.8
Nonfarm_Payrolls,60.0,153270.06666666668,5520.727497094485,141770.0,149637.25,155128.5,157849.75,159540.0
Labor_Force_Participation,60.0,62.248333333333335,0.4184279160189423,61.4,61.975,62.3,62.6,62.8
Initial_Claims,60.0,308431.6666666667,188053.9583958859,197750.0,215000.0,225500.0,246687.5,851750.0
CPI_All_Items,60.0,296.55981666666673,19.7751629494597,259.997,280.3105,301.55949999999996,313.13325,323.364
CPI_Core,60.0,301.3489833333333,19.270721940767082,268.933,284.7685,304.61,318.1255,329.793
PCE_Price_Index,60.0,117.7158,6.86524232613898,105.057,112.01825,119.45349999999999,123.39574999999999,127.285
PCE_Core,60.0,116.86051666666665,6.606975924288227,105.41,111.256,118.122,122.4565,126.705
Gross_Domestic_Product,19.0,26851.27157894737,2588.6411982250524,22087.16,25031.9735,27216.445,28927.6025,30485.729
Real_GDP,19.0,22467.003684210522,884.5801481711254,20791.917,21949.8775,22439.607,23184.3135,23770.976
Potential_GDP,20.0,22296.224677500002,733.5861366718113,21174.33034,21693.03879,22270.677465,22882.7325,23510.18
Federal_Funds_Rate,60.0,2.9695000000000005,2.2602132980190994,0.06,0.09,4.33,5.09,5.33
Treasury_10Y,60.0,3.1513333333333327,1.3003252092140312,0.68,1.635,3.6900000000000004,4.265,4.8
Treasury_2Y,60.0,2.9776666666666656,1.8437088327301048,0.12,0.6375000000000001,3.9050000000000002,4.4,5.07
Treasury_3M,60.0,3.1031666666666666,2.302157787864678,0.02,0.1075,4.335,5.3025,5.6
Money_Supply_M1,60.0,18926.015000000003,996.9114350995295,17159.2,18090.824999999997,18611.550000000003,19731.975,20727.3
Money_Supply_M2,60.0,20974.315000000002,802.7346712850087,18596.6,20727.475,21120.199999999997,21536.875,22195.4
Consumer_Sentiment,60.0,68.20333333333332,9.231246985318657,50.0,61.15,67.85,74.7,88.3
Industrial_Production,60.0,101.77387000000002,2.1410584931171663,95.5072,101.20965000000001,102.69995,103.077925,104.2115
Capacity_Utilization,19.0,78.42055789473685,1.6556975946093886,74.9612,77.60455,78.2702,79.5646,81.0732
