,count,mean,std,min,25%,50%,75%,max
SP500,1274.0,4670.121146065848,825.8465410067366,3236.919921875,4052.1200561523438,4437.304931640625,5316.52001953125,6693.75
DJI,1274.0,36053.11153968799,4572.286085044035,26501.599609375,33128.9794921875,34711.666015625,39303.9921875,46381.5390625
NASDAQ,1274.0,14817.906269929847,2938.137200601189,10213.2900390625,12489.38232421875,14140.6201171875,16779.4970703125,22788.98046875
RUSSELL2000,1274.0,2024.0223222909206,217.39802458480895,1451.4599609375,1850.844970703125,2029.219970703125,2219.9674682617188,2467.699951171875
SPY_ETF,1274.0,451.022524775291,88.40785506154842,300.7846374511719,386.13719940185547,423.63970947265625,523.2236633300781,666.8400268554688
QQQ_ETF,1274.0,380.62607726571696,88.32936010377054,255.59429931640625,307.44085693359375,358.9595031738281,450.40457916259766,602.2000122070312
IWM_ETF,1274.0,194.49719750899908,21.875452883812873,135.51290893554688,177.43218231201172,196.4982681274414,211.57097244262695,244.83999633789062
VTI_ETF,1274.0,226.47879258280085,41.643187031102656,153.0430908203125,194.88499069213867,214.21404266357422,258.4364929199219,329.8599853515625
VIX,1274.0,19.880431730668622,5.567091191751857,11.859999656677246,15.772500276565552,18.695000648498535,22.897499561309814,52.33000183105469
DXY,1274.0,100.41550852777071,5.7488927152893465,89.40899658203125,95.65499877929688,101.92399978637695,104.52974891662598,114.0469970703125
GOLD,1274.0,2152.8968572930976,507.5637222002325,1623.300048828125,1813.5499877929688,1926.2999877929688,2364.3750610351562,3780.60009765625
OIL,1274.0,74.69257462230544,15.081229452556018,35.790000915527344,67.33250045776367,73.91999816894531,81.63749885559082,123.69999694824219
